class,RE,RENL,SWR,SKR,QR,CER,CS,ACF,CT,TAC,RT,RCF,TRC,RP,ExtLib,Sentiment,id
u,70.14470588235295,70.14470588235295,0.5,0.5,1.0,0.05,0.35478743759344955,1,1,3166,1,4,1426,282,0.5491549383806152,1,66367460-7200
u,85.85950000000001,85.38,0.5357142857142857,0.5714285714285714,0.0,0.07142857142857142,0.20385887657505022,0,0,2387,1,5,1406,205,0.0,1,66087420-7199
u,77.90500000000002,77.90500000000002,0.0,0.0,0.0,0.5,0.0,0,0,86,1,3,114,17,0.373084870269086,1,66137020-7199
u,82.42535714285715,82.42535714285715,0.3,0.3,0.25,0.1,0.0,0,0,2387,1,12,1404,204,0.0,1,66086706-7198
u,100.0,100.0,0.2,0.2,1.0,0.2,0.18257418583505536,0,0,86,1,2,112,16,0.289121654791456,1,66135501-7198
u,50.610000000000014,72.61545454545457,0.5,0.5,0.0,0.3888888888888889,0.4082482904638631,0,0,187,1,5,509,97,0.0,1,66654096-7197
u,100.0,100.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6546536707079772,88,1,7098,1,7,439,46,0.0,1,66654158-7197
u,43.47853658536589,92.17119565217394,0.3157894736842105,0.3508771929824561,0.0,0.5087719298245614,0.5097961223184572,0,0,441,1,4,146,34,0.5898748977383912,1,66654179-7197
u,83.32000000000004,83.32000000000004,0.4,0.4,0.0,0.2,0.14907119849998599,0,0,187,1,5,509,97,0.0,1,66654256-7197
u,36.62000000000003,36.62000000000003,0.0,0.0,0.0,1.0,0.0,0,0,187,1,5,509,97,0.0,1,66654478-7197
u,89.52500000000002,88.5902380952381,0.4,0.4,0.3333333333333333,0.08571428571428572,0.16087236302194674,0,0,351,1,9,275,59,0.0,1,65925367-7194
u,72.51881578947369,72.51881578947369,0.2857142857142857,0.2857142857142857,0.0,0.047619047619047616,0.3289758474798845,0,0,86,1,8,110,15,0.2948403130026424,1,65914677-7192
u,69.79,69.79,0.5789473684210527,0.5789473684210527,0.0,0.02631578947368421,0.20619652471058064,2,1,174,1,4,203,25,0.0,1,65625398-7187
